"","cra","cra.error","phi_m","sig_m"
"1",4060,20,0.603255074573689,0.0015019421749625
"2",4114,20,0.59921343043393,0.00149187957284683
"3",6037,20,0.471646761824645,0.00117427302831979
"4",4550,20,0.567557312162847,0.00141306438979919
"5",3399,20,0.654993746684229,0.00163075749205584
"6",5018,20,0.535436368248326,0.00133309191646539
"7",3292,20,0.663776663877904,0.00165262458328869
"8",3876,20,0.617232410510474,0.00153674196566781
"9",2963,20,0.691526725940264,0.0017217147415418
"10",3646,20,0.635160374147827,0.00158137775214198
"11",5309,20,0.516387001099394,0.0012856641381785
"12",3619,20,0.637298825912879,0.00158670191936482
"13",4463,20,0.573737548834456,0.001428451509609
"14",3784,20,0.624342058376937,0.00155444306828566
"15",3997,20,0.608004793268167,0.00151376769144321
"16",4697,20,0.557265741466595,0.00138744115888608
"17",3013,20,0.687235806976073,0.00171103151245132
"18",4683,20,0.55823779708634,0.00138986131479233
"19",5664,20,0.494063366589267,0.0012300843186587
"20",5805,20,0.485466937670291,0.00120868153285271
"21",5028,20,0.534770236997835,0.0013314334295975
"22",4049,20,0.604081708617001,0.00150400027042699
"23",4481,20,0.572453381766219,0.00142525428050845
"24",3717,20,0.629571219499292,0.00156746226689728
"25",5262,20,0.519417167728117,0.00129320843452786
"26",3682,20,0.63232026294607,0.00157430664246501
"27",3479,20,0.648503090323195,0.0016145975110748
"28",2930,20,0.694373398402904,0.00172880218698594
"29",3010,20,0.687492509633978,0.00171167063272495
"30",4943,20,0.540458872724672,0.00134559659585378
"31",3869,20,0.617770504613475,0.00153808167462586
"32",5663,20,0.49412487463358,0.00123023745707352
"33",2978,20,0.690236644741595,0.00171850278785409
"34",3855,20,0.618848100535919,0.00154076459737562
"35",3763,20,0.625976358875434,0.00155851203504403
"36",3064,20,0.682886497700048,0.00170020290725768
"37",4798,20,0.550303026916152,0.00137010588053318
"38",4046,20,0.604307350789047,0.00150456205848138
"39",3065,20,0.682801492845773,0.00169999126813338
"40",3971,20,0.609975879403112,0.00151867516345851
"41",3058,20,0.683396749106728,0.0017014732954232
"42",3792,20,0.623720590658335,0.00155289578154696
"43",3878,20,0.617078755442681,0.00153635940605672
"44",3586,20,0.639922269013697,0.00159323358400024
"45",5405,20,0.510252541797562,0.00127039099165333
"46",3137,20,0.676708869244928,0.00168482228120236
"47",4392,20,0.578831027997397,0.00144113289679422
"48",5693,20,0.492282959991185,0.00122565158718084
"49",4367,20,0.580635250178303,0.00144562492263987
"50",4513,20,0.57017751096981,0.00141958797701932
"51",4094,20,0.600707168737599,0.00149559857771094
"52",4476,20,0.572809806249924,0.0014261416811899
"53",3678,20,0.632635202679542,0.00157509075732489
"54",3990,20,0.608534842870688,0.00151508737176818
"55",4171,20,0.594976623048896,0.00148133106697098
"56",2910,20,0.696104354502289,0.00173311180008039
"57",3828,20,0.620931632296958,0.00154595202862432
"58",4244,20,0.589594257854889,0.00146793043160684
"59",3517,20,0.645442599564808,0.0016069777158342
"60",4798,20,0.550303026916152,0.00137010588053318
"61",4805,20,0.549823698732893,0.00136891248284052
"62",3017,20,0.686893685859568,0.00171017972329035
"63",4518,20,0.569822724402349,0.00141870465430686
"64",4504,20,0.570816683550198,0.00142117934408116
"65",5119,20,0.528746399146282,0.00131643570060073
"66",4485,20,0.572168401868302,0.00142454475754588
"67",3562,20,0.641837008200219,0.00159800076733529
"68",4969,20,0.538712424993693,0.00134124841278151
"69",3387,20,0.655972932369724,0.00163319539989972
"70",4694,20,0.557473896506745,0.00138795940870595
"71",4181,20,0.594236418338444,0.00147948815719767
"72",4366,20,0.580707535923641,0.0014458048946188
"73",3738,20,0.627927533530519,0.00156336993285328
"74",5287,20,0.517803169999128,0.00128919001618107
"75",3691,20,0.631612221668116,0.00157254381095012
"76",2920,20,0.695238337751029,0.00173095565231179
"77",2944,20,0.693164290801015,0.00172579183568036
"78",5294,20,0.517352150032634,0.00128806709830109
"79",4513,20,0.57017751096981,0.00141958797701932
"80",4457,20,0.574166244367819,0.00142951884568111
"81",3868,20,0.617847413484165,0.00153827315693804
"82",3810,20,0.622324549133893,0.00154942001527174
"83",3304,20,0.662785829385257,0.00165015767306176
"84",4075,20,0.60212966900292,0.0014991402191035
"85",5871,20,0.481494629415468,0.00119879155836043
"86",3403,20,0.654667676375254,0.00162994566506972
"87",3839,20,0.620081940577271,0.00154383652577436
"88",2952,20,0.692474317693099,0.00172407398902801
"89",5005,20,0.536303579519346,0.00133525103826552
"90",4941,20,0.540593449136508,0.00134593165476536
"91",4370,20,0.580418446926042,0.00144508514110803
"92",5333,20,0.514846506528681,0.00128182872283999
"93",3974,20,0.609748120660571,0.00151810810571535
"94",4641,20,0.561164149298874,0.00139714714128937
"95",3563,20,0.641757113134883,0.00159780185020511
"96",4492,20,0.571670028377386,0.00142330394218197
"97",4141,20,0.597202773947754,0.00148687358134633
"98",5583,20,0.499070409679662,0.00124255050337274
"99",4713,20,0.556156893199131,0.00138468042623959
"100",5278,20,0.51838363061347,0.00129063520630766
"101",3104,20,0.679494543942727,0.00169175785868972
"102",4007,20,0.607248380336096,0.00151188442757649
"103",3608,20,0.638172109748303,0.00158887616020989
"104",6020,20,0.472645950802825,0.00117676073895886
"105",3498,20,0.646971035243476,0.00161078310778906
"106",5357,20,0.513310607587829,0.00127800474937839
"107",4120,20,0.59876603366744,0.0014907656757561
"108",3746,20,0.627302496843539,0.00156181376034741
"109",4681,20,0.558376800521151,0.00139020739579522
"110",3279,20,0.664851739532997,0.00165530123125357
"111",3896,20,0.615697579994329,0.0015329206522951
"112",3477,20,0.648664570175529,0.00161499955228564
"113",3100,20,0.679832979768851,0.00169260047247317
"114",3841,20,0.619927576141779,0.00154345220002933
"115",5507,20,0.503814508100184,0.00125436202688954
"116",3412,20,0.653934611557662,0.00162812053170089
"117",4500,20,0.571100990197815,0.00142188719083235
"118",3664,20,0.633738727547937,0.00157783823614574
"119",3637,20,0.635872392927055,0.00158315048656058
"120",4082,20,0.601605198472661,0.00149783442916136
"121",4672,20,0.559002744430813,0.00139176582704049
"122",3995,20,0.608156188883238,0.00151414462562738
"123",4188,20,0.593718823033863,0.00147819948471023
