"","CalBP","PrDens"
"1",7000,5.28486989034853e-05
"2",6999,5.29303631498397e-05
"3",6998,5.30121843026057e-05
"4",6997,5.30941622900774e-05
"5",6996,5.31762970445346e-05
"6",6995,5.32585885021648e-05
"7",6994,5.33410366029865e-05
"8",6993,5.34236412907745e-05
"9",6992,5.35064025129872e-05
"10",6991,5.35893202206953e-05
"11",6990,5.36723943685128e-05
"12",6989,5.37556249145287e-05
"13",6988,5.38390118202415e-05
"14",6987,5.39225550504942e-05
"15",6986,5.40062545734114e-05
"16",6985,5.40901103603379e-05
"17",6984,5.41741223857783e-05
"18",6983,5.42582906273384e-05
"19",6982,5.43426150656679e-05
"20",6981,5.44270956844043e-05
"21",6980,5.45117324701181e-05
"22",6979,5.45965254122591e-05
"23",6978,5.46814745031044e-05
"24",6977,5.47665797377071e-05
"25",6976,5.48518411138463e-05
"26",6975,5.49372586319781e-05
"27",6974,5.5022832295188e-05
"28",6973,5.51085621091441e-05
"29",6972,5.51944480820514e-05
"30",6971,5.52804902246069e-05
"31",6970,5.53666885499562e-05
"32",6969,5.54530430736505e-05
"33",6968,5.55395538136044e-05
"34",6967,5.56262207900557e-05
"35",6966,5.57130440255247e-05
"36",6965,5.5800023544775e-05
"37",6964,5.58871593747755e-05
"38",6963,5.5974451544662e-05
"39",6962,5.60619000857014e-05
"40",6961,5.61495050312549e-05
"41",6960,5.62372664167428e-05
"42",6959,5.63251842796101e-05
"43",6958,5.64132586592928e-05
"44",6957,5.65014895971841e-05
"45",6956,5.65898771366026e-05
"46",6955,5.66784213227601e-05
"47",6954,5.67671222027303e-05
"48",6953,5.68559798254186e-05
"49",6952,5.69449942415317e-05
"50",6951,5.70341655035486e-05
"51",6950,5.71234936656918e-05
"52",6949,5.72129787838986e-05
"53",6948,5.7302620915794e-05
"54",6947,5.73924201206635e-05
"55",6946,5.74823764594259e-05
"56",6945,5.75724899946081e-05
"57",6944,5.76627607903189e-05
"58",6943,5.77531889122241e-05
"59",6942,5.78437744275217e-05
"60",6941,5.79345174049182e-05
"61",6940,5.80254179146044e-05
"62",6939,5.81164760282322e-05
"63",6938,5.82076918188924e-05
"64",6937,5.82990653610913e-05
"65",6936,5.83905967307295e-05
"66",6935,5.848228600508e-05
"67",6934,5.85741332627672e-05
"68",6933,5.86661385837458e-05
"69",6932,5.87583020492806e-05
"70",6931,5.88506237419264e-05
"71",6930,5.89431037455083e-05
"72",6929,5.90357421451024e-05
"73",6928,5.91285390270166e-05
"74",6927,5.92214944787722e-05
"75",6926,5.93146085890854e-05
"76",6925,5.94078814478494e-05
"77",6924,5.95013131461166e-05
"78",6923,5.95949037760811e-05
"79",6922,5.96886534310619e-05
"80",6921,5.97825622054858e-05
"81",6920,5.98766301948711e-05
"82",6919,5.99708574958111e-05
"83",6918,6.00652442059584e-05
"84",6917,6.01597904240091e-05
"85",6916,6.02544962496874e-05
"86",6915,6.03493617837303e-05
"87",6914,6.04443871278727e-05
"88",6913,6.05395723848329e-05
"89",6912,6.0634917658298e-05
"90",6911,6.07304230529095e-05
"91",6910,6.08260886742497e-05
"92",6909,6.09219146288279e-05
"93",6908,6.10179010240664e-05
"94",6907,6.11140479682878e-05
"95",6906,6.12103555707014e-05
"96",6905,6.13068239413906e-05
"97",6904,6.14034531913001e-05
"98",6903,6.15002434322233e-05
"99",6902,6.159719477679e-05
"100",6901,6.16943073384545e-05
"101",6900,6.17915812314835e-05
"102",6899,6.18890165709442e-05
"103",6898,6.19866134726929e-05
"104",6897,6.20843720533636e-05
"105",6896,6.21822924303567e-05
"106",6895,6.22803747218278e-05
"107",6894,6.23786190466772e-05
"108",6893,6.24770255245387e-05
"109",6892,6.25755942757692e-05
"110",6891,6.26743254214382e-05
"111",6890,6.27732190833177e-05
"112",6889,6.28722753838718e-05
"113",6888,6.29714944462468e-05
"114",6887,6.30708763942615e-05
"115",6886,6.31704213523972e-05
"116",6885,6.32701294457884e-05
"117",6884,6.3370000800213e-05
"118",6883,6.34700355420833e-05
"119",6882,6.35702337984367e-05
"120",6881,6.36705956969265e-05
"121",6880,6.37711213658133e-05
"122",6879,6.38718109339556e-05
"123",6878,6.39726645308017e-05
"124",6877,6.40736822863808e-05
"125",6876,6.41748643312943e-05
"126",6875,6.42762107967081e-05
"127",6874,6.43777218143434e-05
"128",6873,6.44793975164695e-05
"129",6872,6.45812380358949e-05
"130",6871,6.46832435059601e-05
"131",6870,6.47854140605291e-05
"132",6869,6.48877498339821e-05
"133",6868,6.49902509612075e-05
"134",6867,6.50929175775947e-05
"135",6866,6.51957498190262e-05
"136",6865,6.52987478218706e-05
"137",6864,6.54019117229752e-05
"138",6863,6.55052416596585e-05
"139",6862,6.56087377697035e-05
"140",6861,6.57124001913504e-05
"141",6860,6.58162290632897e-05
"142",6859,6.59202245246554e-05
"143",6858,6.60243867150181e-05
"144",6857,6.61287157743784e-05
"145",6856,6.62332118431599e-05
"146",6855,6.63378750622031e-05
"147",6854,6.64427055727588e-05
"148",6853,6.65477035164813e-05
"149",6852,6.66528690354224e-05
"150",6851,6.67582022720251e-05
"151",6850,6.68637033691172e-05
"152",6849,6.69693724699053e-05
"153",6848,6.70752097179685e-05
"154",6847,6.71812152572526e-05
"155",6846,6.72873892320641e-05
"156",6845,6.73937317870642e-05
"157",6844,6.75002430672628e-05
"158",6843,6.76069232180132e-05
"159",6842,6.77137723850058e-05
"160",6841,6.78207907142629e-05
"161",6840,6.79279783521327e-05
"162",6839,6.80353354452838e-05
"163",6838,6.81428621407003e-05
"164",6837,6.82505585856752e-05
"165",6836,6.8358424927806e-05
"166",6835,6.84664613149889e-05
"167",6834,6.85746678954133e-05
"168",6833,6.86830448175573e-05
"169",6832,6.87915922301813e-05
"170",6831,6.89003102823242e-05
"171",6830,6.90091991232969e-05
"172",6829,6.91182589026784e-05
"173",6828,6.922748977031e-05
"174",6827,6.93368918762906e-05
"175",6826,6.94464653709718e-05
"176",6825,6.95562104049529e-05
"177",6824,6.96661271290758e-05
"178",6823,6.97762156944206e-05
"179",6822,6.98864762523007e-05
"180",6821,6.99969089542577e-05
"181",6820,7.01075139520571e-05
"182",6819,7.02182913976834e-05
"183",6818,7.03292414433355e-05
"184",6817,7.0440364241422e-05
"185",6816,7.0551659944557e-05
"186",6815,7.06631287055549e-05
"187",6814,7.07747706774266e-05
"188",6813,7.08865860133746e-05
"189",6812,7.09985748667884e-05
"190",6811,7.11107373912407e-05
"191",6810,7.12230737404823e-05
"192",6809,7.13355840684383e-05
"193",6808,7.14482685292036e-05
"194",6807,7.15611272770383e-05
"195",6806,7.16741604663641e-05
"196",6805,7.17873682517592e-05
"197",6804,7.19007507879548e-05
"198",6803,7.20143082298306e-05
"199",6802,7.21280407324107e-05
"200",6801,7.22419484508595e-05
"201",6800,7.23560315404773e-05
"202",6799,7.24702901566967e-05
"203",6798,7.25847244550781e-05
"204",6797,7.26993345913059e-05
"205",6796,7.28141207211845e-05
"206",6795,7.29290830006341e-05
"207",6794,7.30442215856867e-05
"208",6793,7.31595366324826e-05
"209",6792,7.3275028297266e-05
"210",6791,7.33906967363811e-05
"211",6790,7.35065421062685e-05
"212",6789,7.36225645634611e-05
"213",6788,7.37387642645802e-05
"214",6787,7.38551413663321e-05
"215",6786,7.39716960255035e-05
"216",6785,7.40884283989585e-05
"217",6784,7.42053386436343e-05
"218",6783,7.43224269165374e-05
"219",6782,7.44396933747405e-05
"220",6781,7.45571381753778e-05
"221",6780,7.46747614756422e-05
"222",6779,7.4792563432781e-05
"223",6778,7.49105442040921e-05
"224",6777,7.50287039469212e-05
"225",6776,7.51470428186569e-05
"226",6775,7.52655609767284e-05
"227",6774,7.53842585786005e-05
"228",6773,7.5503135781771e-05
"229",6772,7.56221927437668e-05
"230",6771,7.574142962214e-05
"231",6770,7.58608465744646e-05
"232",6769,7.59804437583332e-05
"233",6768,7.61002213313527e-05
"234",6767,7.62201794511415e-05
"235",6766,7.63403182753255e-05
"236",6765,7.64606379615347e-05
"237",6764,7.65811386673998e-05
"238",6763,7.67018205505484e-05
"239",6762,7.6822683768602e-05
"240",6761,7.69437284791719e-05
"241",6760,7.70649548398563e-05
"242",6759,7.71863630082364e-05
"243",6758,7.73079531418731e-05
"244",6757,7.74297253983036e-05
"245",6756,7.7551679935038e-05
"246",6755,7.76738169095556e-05
"247",6754,7.77961364793017e-05
"248",6753,7.79186388016842e-05
"249",6752,7.804132403407e-05
"250",6751,7.81641923337817e-05
"251",6750,7.82872438580944e-05
"252",6749,7.84104787642319e-05
"253",6748,7.85338972093635e-05
"254",6747,7.86574993506008e-05
"255",6746,7.87812853449941e-05
"256",6745,7.8905255349529e-05
"257",6744,7.90294095211233e-05
"258",6743,7.91537480166232e-05
"259",6742,7.92782709928004e-05
"260",6741,7.94029786063486e-05
"261",6740,7.952787101388e-05
"262",6739,7.96529483719221e-05
"263",6738,7.97782108369143e-05
"264",6737,7.99036585652046e-05
"265",6736,8.00292917130463e-05
"266",6735,8.01551104365946e-05
"267",6734,8.02811148919032e-05
"268",6733,8.04073052349214e-05
"269",6732,8.05336816214902e-05
"270",6731,8.06602442073393e-05
"271",6730,8.07869931480837e-05
"272",6729,8.09139285992204e-05
"273",6728,8.10410507161254e-05
"274",6727,8.11683596540497e-05
"275",6726,8.12958555681166e-05
"276",6725,8.14235386133183e-05
"277",6724,8.15514089445122e-05
"278",6723,8.16794667164181e-05
"279",6722,8.18077120836146e-05
"280",6721,8.19361452005359e-05
"281",6720,8.20647662214686e-05
"282",6719,8.2193575300548e-05
"283",6718,8.23225725917553e-05
"284",6717,8.24517582489141e-05
"285",6716,8.2581132425687e-05
"286",6715,8.27106952755723e-05
"287",6714,8.2840446951901e-05
"288",6713,8.2970387607833e-05
"289",6712,8.31005173963545e-05
"290",6711,8.32308364702738e-05
"291",6710,8.33613449822189e-05
"292",6709,8.34920430846334e-05
"293",6708,8.36229309297739e-05
"294",6707,8.37540086697062e-05
"295",6706,8.38852764563022e-05
"296",6705,8.40167344412364e-05
"297",6704,8.41483827759831e-05
"298",6703,8.42802216118123e-05
"299",6702,8.44122510997872e-05
"300",6701,8.45444713907601e-05
"301",6700,8.46768826353699e-05
"302",6699,8.48094849840381e-05
"303",6698,8.49422785869657e-05
"304",6697,8.50752635941301e-05
"305",6696,8.52084401552813e-05
"306",6695,8.53418084199393e-05
"307",6694,8.54753685373898e-05
"308",6693,8.56091206566817e-05
"309",6692,8.57430649266234e-05
"310",6691,8.58772014957793e-05
"311",6690,8.60115305124669e-05
"312",6689,8.6146052124753e-05
"313",6688,8.62807664804507e-05
"314",6687,8.64156737271158e-05
"315",6686,8.65507740120433e-05
"316",6685,8.66860674822647e-05
"317",6684,8.68215542845438e-05
"318",6683,8.69572345653739e-05
"319",6682,8.70931084709741e-05
"320",6681,8.72291761472861e-05
"321",6680,8.73654377399709e-05
"322",6679,8.7501893394405e-05
"323",6678,8.76385432556774e-05
"324",6677,8.77753874685861e-05
"325",6676,8.79124261776345e-05
"326",6675,8.80496595270283e-05
"327",6674,8.81870876606719e-05
"328",6673,8.83247107221649e-05
"329",6672,8.84625288547989e-05
"330",6671,8.86005422015538e-05
"331",6670,8.87387509050946e-05
"332",6669,8.8877155107768e-05
"333",6668,8.90157549515984e-05
"334",6667,8.91545505782853e-05
"335",6666,8.92935421291991e-05
"336",6665,8.9432729745378e-05
"337",6664,8.95721135675244e-05
"338",6663,8.97116937360017e-05
"339",6662,8.98514703908303e-05
"340",6661,8.99914436716845e-05
"341",6660,9.01316137178889e-05
"342",6659,9.02719806684148e-05
"343",6658,9.04125446618769e-05
"344",6657,9.05533058365297e-05
"345",6656,9.06942643302636e-05
"346",6655,9.08354202806021e-05
"347",6654,9.09767738246977e-05
"348",6653,9.11183250993284e-05
"349",6652,9.12600742408943e-05
"350",6651,9.14020213854142e-05
"351",6650,9.15441666685215e-05
"352",6649,9.16865102254613e-05
"353",6648,9.18290521910863e-05
"354",6647,9.19717926998534e-05
"355",6646,9.21147318858199e-05
"356",6645,9.22578698826404e-05
"357",6644,9.24012068235628e-05
"358",6643,9.25447428414246e-05
"359",6642,9.26884780686496e-05
"360",6641,9.28324126372439e-05
"361",6640,9.29765466787926e-05
"362",6639,9.31208803244558e-05
"363",6638,9.32654137049655e-05
"364",6637,9.34101469506212e-05
"365",6636,9.35550801912867e-05
"366",6635,9.37002135563864e-05
"367",6634,9.38455471749014e-05
"368",6633,9.39910811753659e-05
"369",6632,9.41368156858636e-05
"370",6631,9.42827508340239e-05
"371",6630,9.4428886747018e-05
"372",6629,9.45752235515554e-05
"373",6628,9.47217613738801e-05
"374",6627,9.48685003397668e-05
"375",6626,9.50154405745172e-05
"376",6625,9.51625822029561e-05
"377",6624,9.53099253494278e-05
"378",6623,9.54574701377922e-05
"379",6622,9.56052166914209e-05
"380",6621,9.57531651331939e-05
"381",6620,9.59013155854948e-05
"382",6619,9.60496681702081e-05
"383",6618,9.61982230087146e-05
"384",6617,9.63469802218879e-05
"385",6616,9.64959399300902e-05
"386",6615,9.6645102253169e-05
"387",6614,9.67944673104527e-05
"388",6613,9.69440352207469e-05
"389",6612,9.70938061023308e-05
"390",6611,9.72437800729527e-05
"391",6610,9.73939572498265e-05
"392",6609,9.75443377496278e-05
"393",6608,9.76949216884898e-05
"394",6607,9.78457091819994e-05
"395",6606,9.79967003451933e-05
"396",6605,9.8147895292554e-05
"397",6604,9.82992941380058e-05
"398",6603,9.84508969949108e-05
"399",6602,9.86027039760652e-05
"400",6601,9.87547151936947e-05
"401",6600,9.89069307594512e-05
"402",6599,9.90593507844081e-05
"403",6598,9.92119753790568e-05
"404",6597,9.93648046533025e-05
"405",6596,9.95178387164598e-05
"406",6595,9.96710776772491e-05
"407",6594,9.98245216437924e-05
"408",6593,9.9978170723609e-05
"409",6592,0.000100132025023612
"410",6591,0.000100286084650103
"411",6590,0.000100440349708769
"412",6589,0.000100594820304679
"413",6588,0.000100749496542277
"414",6587,0.000100904378525381
"415",6586,0.000101059466357178
"416",6585,0.000101214760140218
"417",6584,0.000101370259976412
"418",6583,0.000101525965967027
"419",6582,0.000101681878212681
"420",6581,0.000101837996813341
"421",6580,0.000101994321868316
"422",6579,0.000102150853476255
"423",6578,0.000102307591735142
"424",6577,0.00010246453674229
"425",6576,0.00010262168859434
"426",6575,0.000102779047387254
"427",6574,0.000102936613216313
"428",6573,0.00010309438617611
"429",6572,0.000103252366360548
"430",6571,0.000103410553862834
"431",6570,0.000103568948775477
"432",6569,0.000103727551190279
"433",6568,0.000103886361198338
"434",6567,0.000104045378890035
"435",6566,0.000104204604355037
"436",6565,0.000104364037682288
"437",6564,0.000104523678960007
"438",6563,0.000104683528275681
"439",6562,0.000104843585716065
"440",6561,0.000105003851367173
"441",6560,0.000105164325314275
"442",6559,0.000105325007641894
"443",6558,0.0001054858984338
"444",6557,0.000105646997773005
"445",6556,0.000105808305741761
"446",6555,0.000105969822421553
"447",6554,0.000106131547893094
"448",6553,0.000106293482236325
"449",6552,0.000106455625530404
"450",6551,0.000106617977853706
"451",6550,0.000106780539283817
"452",6549,0.000106943309897529
"453",6548,0.000107106289770838
"454",6547,0.000107269478978933
"455",6546,0.0001074328775962
"456",6545,0.000107596485696211
"457",6544,0.00010776030335172
"458",6543,0.000107924330634662
"459",6542,0.000108088567616144
"460",6541,0.000108253014366444
"461",6540,0.000108417670955003
"462",6539,0.000108582537450423
"463",6538,0.000108747613920461
"464",6537,0.000108912900432022
"465",6536,0.00010907839705116
"466",6535,0.000109244103843069
"467",6534,0.000109410020872076
"468",6533,0.000109576148201642
"469",6532,0.000109742485894356
"470",6531,0.000109909034011924
"471",6530,0.000110075792615173
"472",6529,0.000110242761764039
"473",6528,0.000110409941517566
"474",6527,0.000110577331933902
"475",6526,0.000110744933070289
"476",6525,0.000110912744983064
"477",6524,0.000111080767727649
"478",6523,0.000111249001358552
"479",6522,0.000111417445929356
"480",6521,0.000111586101492717
"481",6520,0.000111754968100358
"482",6519,0.000111924045803068
"483",6518,0.000112093334650689
"484",6517,0.00011226283469212
"485",6516,0.000112432545975305
"486",6515,0.000112602468547231
"487",6514,0.000112772602453924
"488",6513,0.000112942947740441
"489",6512,0.000113113504450868
"490",6511,0.000113284272628312
"491",6510,0.000113455252314898
"492",6509,0.000113626443551763
"493",6508,0.000113797846379052
"494",6507,0.000113969460835909
"495",6506,0.00011414128696048
"496",6505,0.000114313324789897
"497",6504,0.000114485574360283
"498",6503,0.000114658035706739
"499",6502,0.000114830708863344
"500",6501,0.000115003593863147
"501",6500,0.000115176690738163
"502",6499,0.000115349999519367
"503",6498,0.000115523520236691
"504",6497,0.000115697252919013
"505",6496,0.000115871197594159
"506",6495,0.000116045354288893
"507",6494,0.000116219723028914
"508",6493,0.000116394303838848
