"","cra","cra.error","phi_m","sig_m"
"1",2948,20,0.692819218354726,0.00172493269850548
"2",3364,20,0.657853798432521,0.00163787824830704
"3",3277,20,0.665017290264098,0.00165571340785285
"4",3830,20,0.620777056337513,0.00154556717624179
"5",3098,20,0.680002260888436,0.00169302193673207
"6",3637,20,0.635872392927055,0.00158315048656058
"7",5031,20,0.534570559271486,0.00133093628599897
"8",4934,20,0.541064730524439,0.00134710501811139
"9",4177,20,0.59453238965263,0.00148022504581758
"10",4006,20,0.607323979262899,0.00151207264848226
"11",3047,20,0.684333200438363,0.00170380480627004
"12",5389,20,0.511269867400931,0.00127292385758977
"13",4504,20,0.570816683550198,0.00142117934408116
"14",4140,20,0.597277122254405,0.00148705868854576
"15",3737,20,0.628005706892825,0.001563564563408
"16",3079,20,0.681612535323091,0.00169703108508177
"17",3423,20,0.653039758089492,0.00162589258829701
"18",3699,20,0.630983517256528,0.00157097850680077
"19",3386,20,0.656054597222699,0.00163339872332304
"20",3454,20,0.650524481028519,0.00161963022788129
"21",3008,20,0.687663698007006,0.00171209684552971
"22",5057,20,0.532843139133888,0.00132663547649418
"23",3084,20,0.681188409560336,0.00169597512650401
"24",3509,20,0.646085710832655,0.00160857888916384
"25",3035,20,0.685356247264948,0.00170635191650678
"26",4449,20,0.574738336729896,0.00143094320112012
"27",3449,20,0.650929514625443,0.0016206386521236
"28",4032,20,0.605361462521883,0.00150718651194294
"29",3231,20,0.668836355372643,0.00166522184830734
"30",3616,20,0.637536875648983,0.00158729459890199
"31",4173,20,0.594828508381239,0.00148096230145958
"32",3732,20,0.628396719710589,0.00156453807969772
"33",4486,20,0.572097179063656,0.00142436743200213
"34",3601,20,0.638728458771957,0.00159026131898906
"35",4613,20,0.563123568209485,0.00140202556506781
"36",4434,20,0.575812546753398,0.00143361769389617
"37",4158,20,0.595940267777007,0.00148373028202915
"38",4017,20,0.606492908450099,0.00151000350666027
"39",4624,20,0.56235298187086,0.00140010701324751
"40",4807,20,0.549686824524306,0.00136857170303574
"41",3208,20,0.670754104627693,0.0016699965258999
"42",4130,20,0.598021114587581,0.00148891102847649
"43",3414,20,0.653771819770711,0.00162771522412725
"44",3485,20,0.648018891920867,0.00161339198785228
"45",5602,20,0.497891381595299,0.00123961504194024
"46",4081,20,0.601680094855817,0.00149802090092323
"47",4378,20,0.579840700603804,0.00144364670883556
"48",4908,20,0.542818804176905,0.00135147218766813
"49",4994,20,0.537038470637658,0.0013370807186298
"50",4668,20,0.559281166910145,0.00139245902380218
"51",4147,20,0.596756878417992,0.00148576342192952
"52",5580,20,0.49925682706267,0.00124301463229845
"53",4643,20,0.561024451975897,0.00139679933269239
"54",5310,20,0.516322721893515,0.00128550410031997
"55",4414,20,0.577247950589717,0.0014371914616948
"56",3430,20,0.652470943553627,0.00162447639375981
"57",4437,20,0.575597544249174,0.00143308239574051
"58",5321,20,0.515616178501844,0.00128374499813729
"59",3063,20,0.682971513136938,0.00170041457272983
"60",4762,20,0.552774751899032,0.00137625980803942
"61",3825,20,0.621163568407926,0.00154652948688641
"62",5194,20,0.523832739124057,0.00130420201450033
"63",4134,20,0.597723406509306,0.00148816981578316
"64",5348,20,0.513886032011416,0.00127943740075045
"65",3253,20,0.667007117352543,0.00166066753977977
"66",3365,20,0.657771909617237,0.00163767436727807
"67",4397,20,0.578470856875927,0.00144023616799683
"68",3429,20,0.652552172429159,0.00162467863171706
"69",5979,20,0.475064477081453,0.00118278221606237
"70",4706,20,0.556641742567825,0.00138588757019252
"71",3876,20,0.617232410510474,0.00153674196566781
"72",3289,20,0.664024603860284,0.00165324188686738
"73",4739,20,0.554359718625421,0.00138020594703205
"74",5751,20,0.488741371292816,0.00121683398803141
"75",5292,20,0.517480972778491,0.00128838783213865
"76",3855,20,0.618848100535919,0.00154076459737562
"77",3788,20,0.624031247153301,0.00155366923230001
"78",3853,20,0.619002196177687,0.00154114825389689
"79",4922,20,0.541873597542999,0.00134911887848375
"80",4487,20,0.572025965124734,0.00142419012853164
"81",3747,20,0.627224411015938,0.00156161934773046
"82",4544,20,0.567981389835898,0.00141412022864658
"83",4115,20,0.599138841098067,0.00149169386554977
"84",3226,20,0.669252790422622,0.00166625865908782
"85",3415,20,0.653690439075009,0.00162751260817878
"86",2936,20,0.693854951389863,0.00172751139397451
"87",4495,20,0.571456572647073,0.0014227724950755
"88",4666,20,0.559420430148198,0.00139280575164496
"89",5289,20,0.517674267044853,0.00128886908264622
"90",5328,20,0.515167063461563,0.00128262682300899
"91",5358,20,0.513246711327553,0.00127784566495096
"92",4166,20,0.595347071093123,0.00148225338252987
"93",3401,20,0.654830691234067,0.00163035152803203
"94",3645,20,0.635239447957143,0.00158157462456652
"95",4101,20,0.600183937241899,0.00149429587263015
"96",4514,20,0.570106535988764,0.00141941126848939
"97",4090,20,0.601006362938233,0.00149634349044749
"98",3021,20,0.686551735058488,0.00170932835816877
"99",3908,20,0.614778514241499,0.00153063242684302
"100",3548,20,0.642956584058478,0.00160078820878496
