"","cra","cra.error","phi_m","sig_m"
"1",3161,20,0.674690099723607,0.00167979609043597
"2",5156,20,0.526316593239218,0.00131038614026943
"3",3278,20,0.66493450974634,0.00165550730672561
"4",3484,20,0.648099566541606,0.00161359284586482
"5",4188,20,0.593718823033863,0.00147819948471023
"6",3523,20,0.644960686247559,0.00160577788185624
"7",5126,20,0.528285847343891,0.00131528905102425
"8",3059,20,0.683311680736998,0.00170126149816257
"9",3616,20,0.637536875648983,0.00158729459890199
"10",5913,20,0.478983736879168,0.00119254011422673
