
_Kernel	-1.03	1.03	-2	2	
_Scale	9.97466e-18	1	9.97466e-18	1	
1	-1201.5	-1122.5	-1222.5	-1053	
2	-1685	-1615.5	-1737.5	-1544	
3	-1598.5	-1503.5	-1611	-1500	
4	-2333.5	-2204	-2401	-2197.5	
5	-1411	-1309	-1423.5	-1291	
6	-2028.5	-1957	-2126	-1934.5	
7	-3934.5	-3781	-3945	-3712.5	
8	-3707	-3650	-3766	-3645.5	
9	-2874	-2699.5	-2880.5	-2669.5	
10	-2565.5	-2474	-2572	-2468	
11	-1378	-1264	-1394	-1224	
12	-4323.5	-4239.5	-4331.5	-4167	
13	-3337.5	-3103	-3344	-3099	
14	-2859.5	-2634	-2869.5	-2624	
15	-2197	-2054	-2203	-2036	
16	-1398.5	-1299.5	-1411.5	-1278	
17	-1748.5	-1643	-1867	-1629.5	
18	-2134.5	-2035.5	-2192.5	-1983.5	
19	-1728	-1627.5	-1739	-1618	
20	-1869.5	-1695	-1876.5	-1689	
21	-1280	-1213.5	-1377.5	-1129	
22	-3942.5	-3796.5	-3946.5	-3793	
23	-1404.5	-1300.5	-1414	-1281.5	
24	-1882	-1773	-1892	-1748	
25	-1374.5	-1233.5	-1385	-1218.5	
26	-3312.5	-3026	-3328.5	-3015	
27	-1866.5	-1694.5	-1875.5	-1686.5	
28	-2575.5	-2490	-2619	-2470.5	
29	-1510	-1450.5	-1530	-1440.5	
30	-2019.5	-1942.5	-2030	-1898.5	
31	-2872.5	-2699	-2879.5	-2667	
32	-2195.5	-2050	-2200.5	-2036	
33	-3328	-3099.5	-3338	-3092	
34	-2015	-1924.5	-2024.5	-1890	
35	-3487	-3360.5	-3494.5	-3351	
36	-3260.5	-3019.5	-3320.5	-2932.5	
37	-2868.5	-2674	-2875	-2631	
38	-2570	-2475	-2574.5	-2469.5	
39	-3489.5	-3363.5	-3498	-3356.5	
40	-3637.5	-3531.5	-3640.5	-3526	
41	-1499	-1447.5	-1505	-1430.5	
42	-2851.5	-2629.5	-2866.5	-2582	
43	-1743	-1641.5	-1861	-1625.5	
44	-1876	-1749	-1880.5	-1743	
45	-4450.5	-4367.5	-4487	-4359	
46	-2828	-2572	-2844.5	-2495.5	
47	-3012.5	-2924.5	-3080	-2913.5	
48	-3701	-3644.5	-3748	-3637.5	
49	-3791	-3709.5	-3930.5	-3655.5	
50	-3509	-3371.5	-3514.5	-3369.5	
51	-2864.5	-2667.5	-2870.5	-2628.5	
52	-4444	-4362.5	-4449	-4354	
53	-3494	-3367	-3510	-3362	
54	-4228.5	-4054	-4236.5	-4048	
55	-3092.5	-2938	-3259.5	-2923	
56	-1860	-1687	-1870.5	-1634	
57	-3262	-3020.5	-3324	-2932.5	
58	-4232.5	-4059.5	-4241.5	-4050	
59	-1385	-1284	-1403.5	-1262.5	
60	-3625	-3527	-3631.5	-3518.5	
61	-2294	-2203	-2397	-2151	
62	-4038	-3970.5	-4043.5	-3961	
63	-2855.5	-2631	-2868.5	-2584.5	
64	-4307	-4066	-4317	-4054	
65	-1532.5	-1497	-1601	-1446.5	
66	-1684.5	-1616.5	-1737.5	-1544.5	
67	-3078	-2929	-3091	-2920	
68	-1860	-1686.5	-1870.5	-1632	
69	-4900	-4799	-4934	-4793.5	
70	-3520.5	-3378.5	-3605	-3372.5	
71	-2449.5	-2296	-2459.5	-2285.5	
72	-1605.5	-1513	-1611.5	-1505.5	
73	-3623.5	-3384.5	-3628.5	-3379	
74	-4652.5	-4544.5	-4683	-4535.5	
75	-4224.5	-4048	-4233	-4043.5	
76	-2401	-2233	-2454	-2205	
77	-2280	-2145.5	-2288	-2140	
78	-2399.5	-2209.5	-2453	-2204.5	
79	-3704.5	-3647.5	-3762.5	-3641	
80	-3328.5	-3100	-3338	-3093	
81	-2199	-2067	-2273.5	-2039	
82	-3360.5	-3130.5	-3365	-3103	
83	-2846	-2622	-2858	-2576.5	
84	-1507	-1449.5	-1517	-1438	
85	-1743	-1641.5	-1861	-1626	
86	-1205	-1111.5	-1214.5	-1050.5	
87	-3332	-3102	-3339	-3096.5	
88	-3508.5	-3371.5	-3514.5	-3368.5	
89	-4224.5	-4047	-4232	-3999.5	
90	-4237	-4059	-4246	-4050	
91	-4315	-4073.5	-4322.5	-4055.5	
92	-2872	-2694.5	-2878	-2635.5	
93	-1737	-1634.5	-1742.5	-1623.5	
94	-2033.5	-1958	-2129.5	-1940.5	
95	-2837.5	-2579	-2850	-2573	
96	-3342	-3106.5	-3352	-3100.5	
97	-2833.5	-2575	-2847	-2500.5	
98	-1365.5	-1221.5	-1383.5	-1204.5	
99	-2460.5	-2347.5	-2465.5	-2303	
100	-1931	-1825.5	-1949.5	-1773.5	
KDE_Model()	
@	
@_Kernel	-1	1	-2	2	
@_Scale	0.495	0.841	0.42	1	
@1	-1209	-1127.5	-1254.5	-1056	
@2	-1684.5	-1615	-1738	-1544	
@3	-1599	-1503.5	-1610.5	-1500	
@4	-2333	-2204	-2401.5	-2153.5	
@5	-1412.5	-1310.5	-1423.5	-1294	
@6	-2027.5	-1956.5	-2125	-1934.5	
@7	-3932	-3781	-3944.5	-3712.5	
@8	-3706	-3650.5	-3765	-3645	
@9	-2874	-2699.5	-2881	-2670	
@10	-2565.5	-2474.5	-2571.5	-2468.5	
@11	-1379.5	-1268	-1396.5	-1224.5	
@12	-4322.5	-4239	-4331	-4078	
@13	-3337.5	-3103	-3344	-3098.5	
@14	-2860	-2634.5	-2869.5	-2623.5	
@15	-2196.5	-2053	-2203	-2035.5	
@16	-1400	-1301.5	-1412.5	-1279.5	
@17	-1748.5	-1643.5	-1866.5	-1629.5	
@18	-2134	-2035.5	-2192.5	-2024.5	
@19	-1727.5	-1627.5	-1739	-1618	
@20	-1869.5	-1694.5	-1876	-1689	
@21	-1282	-1214.5	-1378.5	-1131.5	
@22	-3942.5	-3796	-3946.5	-3792.5	
@23	-1404.5	-1302.5	-1414.5	-1284	
@24	-1881.5	-1772.5	-1890.5	-1749.5	
@25	-1377.5	-1257.5	-1388	-1219	
@26	-3311.5	-3026	-3329	-3015	
@27	-1866	-1694	-1875	-1686.5	
@28	-2576	-2489.5	-2619.5	-2471	
@29	-1510.5	-1451.5	-1529.5	-1441.5	
@30	-2019.5	-1942	-2029.5	-1898	
@31	-2871.5	-2698.5	-2879.5	-2667	
@32	-2195.5	-2049.5	-2201	-2035.5	
@33	-3328	-3099.5	-3338.5	-3091.5	
@34	-2014.5	-1922.5	-2024	-1890	
@35	-3487	-3360	-3494.5	-3350.5	
@36	-3260.5	-3018	-3321	-2932.5	
@37	-2868	-2676	-2875	-2631	
@38	-2570	-2486	-2574.5	-2470	
@39	-3489.5	-3362.5	-3499	-3355.5	
@40	-3637	-3531.5	-3641	-3526	
@41	-1499	-1448	-1505.5	-1431.5	
@42	-2851.5	-2629.5	-2866.5	-2582.5	
@43	-1742.5	-1641.5	-1860	-1625.5	
@44	-1875	-1749.5	-1880.5	-1743	
@45	-4449.5	-4366.5	-4486	-4357.5	
@46	-2827.5	-2572	-2844.5	-2495.5	
@47	-3012.5	-2924.5	-3080.5	-2913.5	
@48	-3700.5	-3644.5	-3709.5	-3637	
@49	-3790.5	-3709.5	-3914.5	-3655	
@50	-3509	-3371.5	-3514	-3369.5	
@51	-2863.5	-2666.5	-2870	-2629	
@52	-4442	-4360.5	-4448.5	-4354	
@53	-3494	-3367	-3510	-3361	
@54	-4228	-4053.5	-4236	-4048	
@55	-3092.5	-2940	-3259.5	-2923	
@56	-1764.5	-1686.5	-1870.5	-1634	
@57	-3263	-3020	-3324	-2933	
@58	-4231.5	-4058	-4240.5	-4050	
@59	-1388	-1285	-1403.5	-1264	
@60	-3623.5	-3526	-3631.5	-3518	
@61	-2294	-2202.5	-2397	-2150.5	
@62	-4038	-3970.5	-4043	-3961.5	
@63	-2855	-2631.5	-2868.5	-2585	
@64	-4247	-4064.5	-4317	-4053.5	
@65	-1532	-1497	-1600.5	-1447.5	
@66	-1683	-1616.5	-1738	-1544.5	
@67	-3079	-2929	-3090.5	-2920	
@68	-1761	-1686.5	-1870	-1632.5	
@69	-4894.5	-4797.5	-4932	-4789.5	
@70	-3520	-3378.5	-3604.5	-3372	
@71	-2449	-2296.5	-2459.5	-2285	
@72	-1605.5	-1512	-1611	-1506.5	
@73	-3623	-3387.5	-3628.5	-3378.5	
@74	-4647.5	-4542.5	-4681.5	-4508	
@75	-4223.5	-4048	-4233	-4042.5	
@76	-2401.5	-2211.5	-2453.5	-2205	
@77	-2280	-2145	-2288	-2140	
@78	-2400	-2209.5	-2453	-2204.5	
@79	-3704.5	-3647.5	-3762	-3641	
@80	-3328.5	-3100	-3338	-3092.5	
@81	-2199	-2065.5	-2273	-2038.5	
@82	-3361	-3130	-3365.5	-3103.5	
@83	-2846	-2621.5	-2858	-2576.5	
@84	-1507.5	-1450.5	-1525.5	-1437.5	
@85	-1743.5	-1641.5	-1860	-1626.5	
@86	-1205.5	-1116.5	-1216	-1054.5	
@87	-3332	-3102.5	-3339	-3096.5	
@88	-3508	-3371.5	-3514	-3368.5	
@89	-4224	-4047	-4232	-3999.5	
@90	-4235	-4060	-4245	-4050	
@91	-4314.5	-4069	-4321.5	-4055	
@92	-2871	-2694.5	-2878	-2634.5	
@93	-1737	-1634.5	-1742.5	-1623.5	
@94	-2033.5	-1957	-2129	-1940	
@95	-2838	-2579	-2851	-2572.5	
@96	-3342.5	-3107	-3352	-3100.5	
@97	-2832.5	-2575.5	-2847.5	-2501	
@98	-1368.5	-1225	-1383.5	-1209.5	
@99	-2460	-2347.5	-2466	-2302.5	
@100	-1932	-1825	-1949.5	-1772.5	
