
_Kernel	-1.03	1.03	-2	2	
_Scale	9.97466e-18	1	9.97466e-18	1	
1	-1867	-1694.5	-1876	-1687	
2	-1496.5	-1444	-1503	-1427	
3	-2834.5	-2578.5	-2849.5	-2571	
4	-4359.5	-4336	-4441.5	-4329	
5	-1204	-1123.5	-1253.5	-1053	
6	-3495.5	-3369.5	-3513	-3365	
7	-1748.5	-1643	-1867	-1629.5	
8	-3332	-3102	-3339	-3096.5	
9	-2109.5	-1959	-2129.5	-1941.5	
10	-2280.5	-2148	-2290	-2140	
KDE_Model()	
@	
@_Kernel	-1	1.02	-2.02	2	
@_Scale	0.795	1	0.609	1	
@1	-1867	-1694.5	-1875.5	-1687	
@2	-1496.5	-1445	-1503	-1427	
@3	-2832	-2578	-2849.5	-2571	
@4	-4360.5	-4335.5	-4441.5	-4327.5	
@5	-1207	-1124.5	-1254.5	-1054.5	
@6	-3495	-3369	-3512.5	-3364.5	
@7	-1748.5	-1643.5	-1867.5	-1629.5	
@8	-3331	-3101.5	-3338.5	-3096.5	
@9	-2107.5	-1958.5	-2129.5	-1941.5	
@10	-2280.5	-2147	-2289.5	-2140	
